,Precision,Recall
0,0.8744525547445255,0.036837028553574215
1,0.6693430656934306,0.053797017489632545
2,0.5610705596107043,0.0663463417712986
3,0.5010948905109489,0.07786718546320032
4,0.4607299270072977,0.08788354690631843
5,0.43114355231143575,0.09785001908534308
6,0.40458811261730965,0.10584971195328177
7,0.38594890510948904,0.11458084771125558
8,0.3685320356853224,0.1219871475123648
9,0.3532846715328463,0.12889661765715407
10,0.33895155938951727,0.13493535792762537
11,0.32591240875912475,0.14019749152274866
12,0.3136440202133634,0.14497926326195898
13,0.30354535974973995,0.1502319717142733
14,0.29489051094890517,0.15520863321023207
15,0.28613138686131384,0.1594809559354382
16,0.27788750536711193,0.1638991332700676
17,0.2724249797242491,0.16980029123906382
18,0.2658470995005778,0.17436242055479997
19,0.259270072992701,0.17837941525295709
20,0.2538755648244703,0.1829276990014937
21,0.24877239548772367,0.18723726225400503
22,0.24335131704220764,0.19094115039737103
23,0.23905109489051057,0.1957339352733247
24,0.23445255474452553,0.19928409683329368
25,0.23032004491858488,0.20301651401007037
26,0.22692619626926305,0.20702063508422597
27,0.2234098018769552,0.21111232542950242
28,0.21973319909388364,0.2152619459605632
29,0.21620437956204325,0.21850485286632385
30,0.2129974099364247,0.22174270591492318
31,0.2094434306569343,0.22497753170147583
32,0.20570670205706826,0.22754778353604263
33,0.2028338342636334,0.23069681461343744
34,0.19979144942648652,0.233429806224439
35,0.1970397404703969,0.2362502179925166
36,0.19396330637206524,0.2383382125118504
37,0.19127929312332026,0.2409552361884814
38,0.188695489425417,0.2434532031651327
39,0.18609489051094905,0.24605513605485715
40,0.18372796866654795,0.24865863782230804
41,0.18175182481751861,0.25129192212508017
42,0.17946019351553164,0.2538330453036992
43,0.17747179827471773,0.2567461575667938
44,0.1752473641524745,0.2587809422575255
45,0.17331006029831783,0.2611701181518465
46,0.17145519490604036,0.2636590680597794
47,0.16967761557177605,0.26588005389736963
48,0.16806196931327308,0.26870577342904933
