,Precision,Recall
0,0.88,0.03942413019049482
1,0.65,0.05906300878717813
2,0.5466666666666664,0.0767959214342498
3,0.49,0.09293105925078798
4,0.43999999999999984,0.10470141670171193
5,0.4333333333333333,0.12316872973658576
6,0.41714285714285704,0.13880725865235288
7,0.39,0.14962128012061007
8,0.3644444444444443,0.15657953746994518
9,0.3399999999999999,0.1607966531216958
10,0.32909090909090916,0.17222115674484123
11,0.3116666666666667,0.17583238101030116
12,0.2923076923076922,0.17753017387957112
13,0.27571428571428563,0.1793913061317812
